ScientificName2021,CommonName2021,Family2021,ScientificName2023,CommonName2023,Family2023
,,,Coracopsis nigra,Lesser Vasa Parrot,Psittaculidae
,,,Coracopsis sibilans,Comoro Black Parrot,Psittaculidae
Psittacus erithacus,Gray Parrot,Psittacidae,,,
,,,Psittacus erithacus,Gray Parrot,Psittacidae
,,,Psittacus timneh,Timneh Parrot,Psittacidae
Loriculus philippensis,Philippine Hanging-Parrot,Psittaculidae,,,
,,,Loriculus philippensis,Philippine Hanging-Parrot,Psittaculidae
,,,Loriculus bonapartei,Black-billed Hanging-Parrot,Psittaculidae
Psittacara wagleri,Scarlet-fronted Parakeet,Psittacidae,,,
,,,Psittacara wagleri,Scarlet-fronted Parakeet,Psittacidae
,,,Psittacara frontatus,Cordilleran Parakeet,Psittacidae
Amazona autumnalis,Red-lored Parrot,Psittacidae,Amazona autumnalis,Red-lored Parrot,Psittacidae
Tauraco leucotis,White-cheeked Turaco,Musophagidae,Menelikornis leucotis,White-cheeked Turaco,Musophagidae
Tauraco ruspolii,Prince Ruspoli's Turaco,Musophagidae,Menelikornis ruspolii,Prince Ruspoli's Turaco,Musophagidae
Ruwenzorornis johnstoni,Rwenzori Turaco,Musophagidae,Gallirex johnstoni,Rwenzori Turaco,Musophagidae
Tauraco porphyreolophus,Purple-crested Turaco,Musophagidae,Gallirex porphyreolophus,Purple-crested Turaco,Musophagidae
Corythaixoides concolor,Gray Go-away-bird,Musophagidae,Crinifer concolor,Gray Go-away-bird,Musophagidae
Corythaixoides personatus,Bare-faced Go-away-bird,Musophagidae,Crinifer personatus,Bare-faced Go-away-bird,Musophagidae
Corythaixoides leucogaster,White-bellied Go-away-bird,Musophagidae,Crinifer leucogaster,White-bellied Go-away-bird,Musophagidae
Cacomantis leucolophus,White-crowned Koel,Cuculidae,Cacomantis leucolophus,White-crowned Cuckoo,Cuculidae
Tyto inexspectata,Minahassa Masked-Owl,Tytonidae,Tyto inexspectata,Minahasa Masked-Owl,Tytonidae
Phodilus prigoginei,Congo Bay-Owl,Tytonidae,Tyto prigoginei,Itombwe Owl,Tytonidae
Otus manadensis,Sulawesi Scops-Owl,Strigidae,,,
,,,Otus manadensis,Sulawesi Scops-Owl,Strigidae
,,,Otus mendeni,Banggai Scops-Owl,Strigidae
Otus magicus,Moluccan Scops-Owl,Strigidae,,,
,,,Otus magicus,Moluccan Scops-Owl,Strigidae
,,,Otus tempestatis,Wetar Scops-Owl,Strigidae
,,,Otus rutilus,Madagascar Scops-Owl,Strigidae
Otus rutilus,Madagascar Scops-Owl,Strigidae,,,
Otus madagascariensis,Torotoroka Scops-Owl,Strigidae,,,
,,,Otus bikegila,Principe Scops-Owl,Strigidae
,,,Megascops ingens,Rufescent Screech-Owl,Strigidae
Megascops ingens,Rufescent Screech-Owl,Strigidae,,,
Pyrroglaux podargina,Palau Owl,Strigidae,Otus podarginus,Palau Scops-Owl,Strigidae
Megascops albogularis,White-throated Screech-Owl,Strigidae,,,
,,,Megascops albogularis,White-throated Screech-Owl,Strigidae
Bubo virginianus,Great Horned Owl,Strigidae,,,
,,,Bubo virginianus,Great Horned Owl,Strigidae
,,,Bubo magellanicus,Lesser Horned Owl,Strigidae
,,,Ketupa poensis,Fraser's Eagle-Owl,Strigidae
Bubo poensis,Fraser's Eagle-Owl,Strigidae,,,
Bubo vosseleri,Usambara Eagle-Owl,Strigidae,,,
Bubo nipalensis,Spot-bellied Eagle-Owl,Strigidae,Ketupa nipalensis,Spot-bellied Eagle-Owl,Strigidae
Bubo sumatranus,Barred Eagle-Owl,Strigidae,Ketupa sumatrana,Barred Eagle-Owl,Strigidae
Bubo shelleyi,Shelley's Eagle-Owl,Strigidae,Ketupa shelleyi,Shelley's Eagle-Owl,Strigidae
Bubo lacteus,Verreaux's Eagle-Owl,Strigidae,Ketupa lactea,Verreaux's Eagle-Owl,Strigidae
Bubo coromandus,Dusky Eagle-Owl,Strigidae,Ketupa coromanda,Dusky Eagle-Owl,Strigidae
Bubo leucostictus,Akun Eagle-Owl,Strigidae,Ketupa leucosticta,Akun Eagle-Owl,Strigidae
Bubo philippensis,Philippine Eagle-Owl,Strigidae,Ketupa philippensis,Philippine Eagle-Owl,Strigidae
Ketupa blakistoni,Blakiston's Fish-Owl,Strigidae,Ketupa blakistoni,Blakiston's Fish-Owl,Strigidae
Ketupa zeylonensis,Brown Fish-Owl,Strigidae,Ketupa zeylonensis,Brown Fish-Owl,Strigidae
Ketupa flavipes,Tawny Fish-Owl,Strigidae,Ketupa flavipes,Tawny Fish-Owl,Strigidae
Ketupa ketupu,Buffy Fish-Owl,Strigidae,Ketupa ketupu,Buffy Fish-Owl,Strigidae
,,,Strix uralensis,Ural Owl,Strigidae
Strix uralensis,Ural Owl,Strigidae,,,
Strix davidi,Pere David's Owl,Strigidae,,,
Ciccaba virgata,Mottled Owl,Strigidae,Strix virgata,Mottled Owl,Strigidae
Ciccaba nigrolineata,Black-and-white Owl,Strigidae,Strix nigrolineata,Black-and-white Owl,Strigidae
Ciccaba huhula,Black-banded Owl,Strigidae,Strix huhula,Black-banded Owl,Strigidae
Ciccaba albitarsis,Rufous-banded Owl,Strigidae,Strix albitarsis,Rufous-banded Owl,Strigidae
,,,Glaucidium capense,African Barred Owlet,Strigidae
Glaucidium capense,African Barred Owlet,Strigidae,,,
Glaucidium castaneum,Chestnut Owlet,Strigidae,,,
,,,Ninox connivens,Barking Owl,Strigidae
Ninox connivens,Barking Owl,Strigidae,,,
Ninox boobook,Southern Boobook,Strigidae,,,
,,,Ninox boobook,Southern Boobook,Strigidae
Ninox novaeseelandiae,Morepork,Strigidae,,,
,,,Ninox novaeseelandiae,Morepork,Strigidae
,,,Ninox leucopsis,Tasmanian Boobook,Strigidae
Ninox jacquinoti,Solomons Boobook,Strigidae,,,
,,,Athene jacquinoti,West Solomons Owl,Strigidae
,,,Athene granti,Guadalcanal Owl,Strigidae
,,,Athene malaitae,Malaita Owl,Strigidae
,,,Athene roseoaxillaris,Makira Owl,Strigidae
Sceloglaux albifacies,Laughing Owl,Strigidae,Ninox albifacies,Laughing Owl,Strigidae
Aegotheles archboldi,Archbold's Owlet-nightjar,Aegothelidae,,,
,,,Aegotheles albertisi,Mountain Owlet-nightjar,Aegothelidae
Aegotheles albertisi,Mountain Owlet-nightjar,Aegothelidae,,,
Nyctibius bracteatus,Rufous Potoo,Nyctibiidae,Phyllaemulor bracteatus,Rufous Potoo,Nyctibiidae
Antrostomus cubanensis,Greater Antillean Nightjar,Caprimulgidae,,,
,,,Antrostomus cubanensis,Cuban Nightjar,Caprimulgidae
,,,Antrostomus ekmani,Hispaniolan Nightjar,Caprimulgidae
Caprimulgus binotatus,Brown Nightjar,Caprimulgidae,Veles binotatus,Brown Nightjar,Caprimulgidae
Caprimulgus donaldsoni,Donaldson-Smith's Nightjar,Caprimulgidae,Caprimulgus donaldsoni,Donaldson Smith's Nightjar,Caprimulgidae
,,,Caprimulgus pectoralis,Fiery-necked Nightjar,Caprimulgidae
Caprimulgus pectoralis,Fiery-necked Nightjar,Caprimulgidae,,,
Caprimulgus nigriscapularis,Black-shouldered Nightjar,Caprimulgidae,,,
,,,Caprimulgus poliocephalus,Montane Nightjar,Caprimulgidae
Caprimulgus poliocephalus,Abyssinian Nightjar,Caprimulgidae,,,
Caprimulgus ruwenzorii,Rwenzori Nightjar,Caprimulgidae,,,
Caprimulgus affinis,Savanna Nightjar,Caprimulgidae,,,
,,,Caprimulgus affinis,Savanna Nightjar,Caprimulgidae
,,,Caprimulgus griseatus,Chirruping Nightjar,Caprimulgidae
Aerodramus leucophaeus,Polynesian Swiftlet,Apodidae,Aerodramus leucophaeus,Tahiti Swiftlet,Apodidae
Mearnsia picina,Philippine Spinetailed Swift,Apodidae,Mearnsia picina,Philippine Spinetail,Apodidae
Mearnsia novaeguineae,Papuan Spinetailed Swift,Apodidae,Mearnsia novaeguineae,Papuan Spinetail,Apodidae
Zoonavena sylvatica,White-rumped Needletail,Apodidae,Zoonavena sylvatica,White-rumped Spinetail,Apodidae
Rhaphidura leucopygialis,Silver-rumped Needletail,Apodidae,Rhaphidura leucopygialis,Silver-rumped Spinetail,Apodidae
Tachornis phoenicobia,Antillean Palm-Swift,Apodidae,Tachornis phoenicobia,Antillean Palm Swift,Apodidae
Tachornis furcata,Pygmy Swift,Apodidae,Tachornis furcata,Pygmy Palm Swift,Apodidae
Tachornis squamata,Fork-tailed Palm-Swift,Apodidae,Tachornis squamata,Fork-tailed Palm Swift,Apodidae
Cypsiurus parvus,African Palm-Swift,Apodidae,Cypsiurus parvus,African Palm Swift,Apodidae
Cypsiurus gracilis,Malagasy Palm-Swift,Apodidae,Cypsiurus gracilis,Malagasy Palm Swift,Apodidae
Cypsiurus balasiensis,Asian Palm-Swift,Apodidae,Cypsiurus balasiensis,Asian Palm Swift,Apodidae
Apus melba,Alpine Swift,Apodidae,Tachymarptis melba,Alpine Swift,Apodidae
Apus aequatorialis,Mottled Swift,Apodidae,Tachymarptis aequatorialis,Mottled Swift,Apodidae
Apus alexandri,Alexander's Swift,Apodidae,Apus alexandri,Cape Verde Swift,Apodidae
,,,Pampa curvipennis,Wedge-tailed Sabrewing,Trochilidae
Pampa curvipennis,Wedge-tailed Sabrewing,Trochilidae,,,
Pampa excellens,Long-tailed Sabrewing,Trochilidae,,,
Anthracothorax prevostii,Green-breasted Mango,Trochilidae,,,
,,,Anthracothorax prevostii,Green-breasted Mango,Trochilidae
,,,Anthracothorax nigricollis,Black-throated Mango,Trochilidae
Anthracothorax nigricollis,Black-throated Mango,Trochilidae,,,
Anthracothorax dominicus,Antillean Mango,Trochilidae,,,
,,,Anthracothorax dominicus,Hispaniolan Mango,Trochilidae
,,,Anthracothorax aurulentus,Puerto Rican Mango,Trochilidae
Riccordia bracei,Brace's Emerald,Trochilidae,,,
,,,Riccordia bracei,Brace's Emerald,Trochilidae
Cynanthus latirostris,Broad-billed Hummingbird,Trochilidae,,,
,,,Cynanthus latirostris,Broad-billed Hummingbird,Trochilidae
,,,Cynanthus lawrencei,Tres Marias Hummingbird,Trochilidae
Trochilus polytmus,Streamertail,Trochilidae,,,
,,,Trochilus polytmus,Red-billed Streamertail,Trochilidae
,,,Trochilus scitulus,Black-billed Streamertail,Trochilidae
Saucerottia viridigaster,Green-bellied Hummingbird,Trochilidae,,,
,,,Saucerottia viridigaster,Green-bellied Hummingbird,Trochilidae
,,,Saucerottia cupreicauda,Copper-tailed Hummingbird,Trochilidae
Leucolia viridifrons,Green-fronted Hummingbird,Trochilidae,Ramosomyia viridifrons,Green-fronted Hummingbird,Trochilidae
Leucolia violiceps,Violet-crowned Hummingbird,Trochilidae,Ramosomyia violiceps,Violet-crowned Hummingbird,Trochilidae
Clytolaema rubricauda,Brazilian Ruby,Trochilidae,Heliodoxa rubricauda,Brazilian Ruby,Trochilidae
Coeligena torquata,Collared Inca,Trochilidae,,,
,,,Coeligena torquata,Collared Inca,Trochilidae
,,,Coeligena conradii,Green Inca,Trochilidae
,,,Coeligena inca,Gould's Inca,Trochilidae
Coeligena bonapartei,Golden-bellied Starfrontlet,Trochilidae,,,
,,,Coeligena bonapartei,Golden-bellied Starfrontlet,Trochilidae
,,,Coeligena consita,Perija Starfrontlet,Trochilidae
,,,Coeligena eos,Merida Starfrontlet,Trochilidae
,,,Heliangelus spencei,Merida Sunangel,Trochilidae
Heliangelus amethysticollis,Amethyst-throated Sunangel,Trochilidae,,,
,,,Heliangelus amethysticollis,Amethyst-throated Sunangel,Trochilidae
,,,Heliangelus clarisse,Longuemare's Sunangel,Trochilidae
Ocreatus underwoodii,Booted Racket-tail,Trochilidae,,,
,,,Ocreatus underwoodii,White-booted Racket-tail,Trochilidae
,,,Ocreatus addae,Rufous-booted Racket-tail,Trochilidae
,,,Ocreatus peruanus,Peruvian Racket-tail,Trochilidae
Trogon rufus,Black-throated Trogon,Trogonidae,,,
,,,Trogon rufus,Amazonian Black-throated Trogon,Trogonidae
,,,Trogon tenellus,Northern Black-throated Trogon,Trogonidae
,,,Trogon cupreicauda,Choco Black-throated Trogon,Trogonidae
,,,Trogon chrysochloros,Atlantic Black-throated Trogon,Trogonidae
Harpactes reinwardtii,Javan Trogon,Trogonidae,Apalharpactes reinwardtii,Javan Trogon,Trogonidae
Harpactes mackloti,Sumatran Trogon,Trogonidae,Apalharpactes mackloti,Sumatran Trogon,Trogonidae
Alcedo euryzona,Blue-banded Kingfisher,Alcedinidae,,,
,,,Alcedo euryzona,Javan Blue-banded Kingfisher,Alcedinidae
,,,Alcedo peninsulae,Malaysian Blue-banded Kingfisher,Alcedinidae
,,,Ceyx lepidus,Moluccan Dwarf-Kingfisher,Alcedinidae
Ceyx lepidus,Seram Dwarf-Kingfisher,Alcedinidae,,,
Ceyx uropygialis,North Moluccan Dwarf-Kingfisher,Alcedinidae,,,
,,,Ceyx meeki,North Solomons Dwarf-Kingfisher,Alcedinidae
Ceyx meeki,North Solomons Dwarf-Kingfisher,Alcedinidae,,,
Ceyx pallidus,Bougainville Dwarf-Kingfisher,Alcedinidae,,,
,,,Ceyx nigromaxilla,Guadalcanal Dwarf-Kingfisher,Alcedinidae
Ceyx nigromaxilla,Guadalcanal Dwarf-Kingfisher,Alcedinidae,,,
Ceyx malaitae,Malaita Dwarf-Kingfisher,Alcedinidae,,,
Ceyx fallax,Sulawesi Dwarf-Kingfisher,Alcedinidae,,,
,,,Ceyx fallax,Sulawesi Dwarf-Kingfisher,Alcedinidae
,,,Ceyx sangirensis,Sangihe Dwarf-Kingfisher,Alcedinidae
Clytoceyx rex,Shovel-billed Kookaburra,Alcedinidae,Dacelo rex,Shovel-billed Kookaburra,Alcedinidae
Cittura cyanotis,Lilac-cheeked Kingfisher,Alcedinidae,,,
,,,Cittura cyanotis,Sulawesi Lilac Kingfisher,Alcedinidae
,,,Cittura sanghirensis,Sangihe Lilac Kingfisher,Alcedinidae
,,,Todiramphus gambieri,Tuamotu Kingfisher,Alcedinidae
Todiramphus gambieri,Mangareva Kingfisher,Alcedinidae,,,
Todiramphus gertrudae,Niau Kingfisher,Alcedinidae,,,
Actenoides princeps,Scaly-breasted Kingfisher,Alcedinidae,Actenoides princeps,Scaly-breasted Kingfisher,Alcedinidae
Merops variegatus,Blue-breasted Bee-eater,Meropidae,,,
,,,Merops variegatus,Blue-breasted Bee-eater,Meropidae
,,,Merops lafresnayii,Ethiopian Bee-eater,Meropidae
Merops orientalis,Green Bee-eater,Meropidae,,,
,,,Merops orientalis,Asian Green Bee-eater,Meropidae
,,,Merops viridissimus,African Green Bee-eater,Meropidae
,,,Merops cyanophrys,Arabian Green Bee-eater,Meropidae
Brachypteracias squamiger,Scaly Ground-Roller,Brachypteraciidae,Geobiastes squamiger,Scaly Ground-Roller,Brachypteraciidae
Horizocerus albocristatus,White-crested Hornbill,Bucerotidae,,,
,,,Horizocerus albocristatus,Western Long-tailed Hornbill,Bucerotidae
,,,Horizocerus cassini,Eastern Long-tailed Hornbill,Bucerotidae
Horizocerus hartlaubi,Black Dwarf Hornbill,Bucerotidae,,,
,,,Horizocerus hartlaubi,Western Dwarf Hornbill,Bucerotidae
,,,Horizocerus granti,Eastern Dwarf Hornbill,Bucerotidae
Lophoceros fasciatus,African Pied Hornbill,Bucerotidae,,,
,,,Lophoceros fasciatus,Congo Pied Hornbill,Bucerotidae
,,,Lophoceros semifasciatus,West African Pied Hornbill,Bucerotidae
Buceros vigil,Helmeted Hornbill,Bucerotidae,Rhinoplax vigil,Helmeted Hornbill,Bucerotidae
Phoeniculus castaneiceps,Forest Woodhoopoe,Phoeniculidae,Rhinopomastus castaneiceps,Forest Scimitarbill,Phoeniculidae
Hypnelus ruficollis,Russet-throated Puffbird,Bucconidae,,,
,,,Hypnelus ruficollis,Russet-throated Puffbird,Bucconidae
,,,Hypnelus bicinctus,Two-banded Puffbird,Bucconidae
Psilopogon australis,Little Barbet,Megalaimidae,Psilopogon australis,Yellow-eared Barbet,Megalaimidae
Psilopogon duvaucelii,Blue-eared Barbet,Megalaimidae,,,
,,,Psilopogon duvaucelii,Black-eared Barbet,Megalaimidae
,,,Psilopogon cyanotis,Blue-eared Barbet,Megalaimidae
Stactolaema olivacea,Green Barbet,Lybiidae,Cryptolybia olivacea,Green Barbet,Lybiidae
Lybius melanopterus,Brown-breasted Barbet,Lybiidae,Pogonornis melanopterus,Brown-breasted Barbet,Lybiidae
Lybius minor,Black-backed Barbet,Lybiidae,Pogonornis minor,Black-backed Barbet,Lybiidae
Lybius bidentatus,Double-toothed Barbet,Lybiidae,Pogonornis bidentatus,Double-toothed Barbet,Lybiidae
Lybius dubius,Bearded Barbet,Lybiidae,Pogonornis dubius,Bearded Barbet,Lybiidae
Lybius rolleti,Black-breasted Barbet,Lybiidae,Pogonornis rolleti,Black-breasted Barbet,Lybiidae
Capito wallacei,Scarlet-banded Barbet,Capitonidae,,,
,,,Capito wallacei,Scarlet-banded Barbet,Capitonidae
,,,Capito fitzpatricki,Sira Barbet,Capitonidae
,,,Indicator minor,Lesser Honeyguide,Indicatoridae
Indicator minor,Lesser Honeyguide,Indicatoridae,,,
Indicator conirostris,Thick-billed Honeyguide,Indicatoridae,,,
Campethera maculosa,Little Green Woodpecker,Picidae,,,
,,,Campethera maculosa,Green-backed Woodpecker,Picidae
Campethera cailliautii,Green-backed Woodpecker,Picidae,,,
Campethera tullbergi,Tullberg's Woodpecker,Picidae,,,
,,,Campethera tullbergi,Tullberg's Woodpecker,Picidae
,,,Campethera taeniolaema,Fine-banded Woodpecker,Picidae
Campethera nivosa,Buff-spotted Woodpecker,Picidae,Pardipicus nivosus,Buff-spotted Woodpecker,Picidae
Campethera caroli,Brown-eared Woodpecker,Picidae,Pardipicus caroli,Brown-eared Woodpecker,Picidae
Chloropicus elachus,Little Gray Woodpecker,Picidae,Dendropicos elachus,Little Gray Woodpecker,Picidae
Chloropicus poecilolaemus,Speckle-breasted Woodpecker,Picidae,Dendropicos poecilolaemus,Speckle-breasted Woodpecker,Picidae
Chloropicus abyssinicus,Abyssinian Woodpecker,Picidae,Dendropicos abyssinicus,Abyssinian Woodpecker,Picidae
Chloropicus fuscescens,Cardinal Woodpecker,Picidae,Dendropicos fuscescens,Cardinal Woodpecker,Picidae
Chloropicus lugubris,Melancholy Woodpecker,Picidae,Dendropicos lugubris,Melancholy Woodpecker,Picidae
Chloropicus gabonensis,Gabon Woodpecker,Picidae,Dendropicos gabonensis,Gabon Woodpecker,Picidae
Chloropicus stierlingi,Stierling's Woodpecker,Picidae,Dendropicos stierlingi,Stierling's Woodpecker,Picidae
Chloropicus elliotii,Elliot's Woodpecker,Picidae,Dendropicos elliotii,Elliot's Woodpecker,Picidae
Chloropicus goertae,African Gray Woodpecker,Picidae,Dendropicos goertae,African Gray Woodpecker,Picidae
Chloropicus spodocephalus,Mountain Gray Woodpecker,Picidae,Dendropicos spodocephalus,Mountain Gray Woodpecker,Picidae
Chloropicus griseocephalus,Olive Woodpecker,Picidae,Dendropicos griseocephalus,Olive Woodpecker,Picidae
Chloropicus obsoletus,Brown-backed Woodpecker,Picidae,Dendropicos obsoletus,Brown-backed Woodpecker,Picidae
Dryobates cathpharius,Crimson-breasted Woodpecker,Picidae,,,
,,,Dryobates cathpharius,Crimson-naped Woodpecker,Picidae
,,,Dryobates pernyii,Necklaced Woodpecker,Picidae
Celeus grammicus,Scale-breasted Woodpecker,Picidae,,,
,,,Celeus undatus,Waved Woodpecker,Picidae
Celeus undatus,Waved Woodpecker,Picidae,,,
Dinopium rafflesii,Olive-backed Woodpecker,Picidae,Gecinulus rafflesii,Olive-backed Woodpecker,Picidae
Chrysocolaptes guttacristatus,Greater Flameback,Picidae,,,
,,,Chrysocolaptes guttacristatus,Greater Flameback,Picidae
,,,Chrysocolaptes socialis,Malabar Flameback,Picidae
Reinwardtipicus validus,Orange-backed Woodpecker,Picidae,Chrysocolaptes validus,Orange-backed Woodpecker,Picidae
Meiglyptes tristis,Buff-rumped Woodpecker,Picidae,,,
,,,Meiglyptes tristis,Zebra Woodpecker,Picidae
,,,Meiglyptes grammithorax,Buff-rumped Woodpecker,Picidae
Pitta sordida,Hooded Pitta,Pittidae,,,
,,,Pitta sordida,Western Hooded Pitta,Pittidae
,,,Pitta novaeguineae,Eastern Hooded Pitta,Pittidae
,,,Pitta abbotti,Nicobar Hooded Pitta,Pittidae
,,,Pitta forsteni,Minahasa Hooded Pitta,Pittidae
,,,Pitta rosenbergii,Biak Hooded Pitta,Pittidae
Erythropitta erythrogaster,Blue-breasted Pitta,Pittidae,Erythropitta erythrogaster,Philippine Pitta,Pittidae
,,,Erythropitta celebensis,Sulawesi Pitta,Pittidae
Erythropitta celebensis,Sulawesi Pitta,Pittidae,,,
Erythropitta caeruleitorques,Sangihe Pitta,Pittidae,,,
Erythropitta palliceps,Siau Pitta,Pittidae,,,
Erythropitta macklotii,Papuan Pitta,Pittidae,,,
,,,Erythropitta macklotii,South Papuan Pitta,Pittidae
,,,Erythropitta habenichti,North Papuan Pitta,Pittidae
,,,Erythropitta novaehibernicae,Bismarck Pitta,Pittidae
Erythropitta novaehibernicae,New Ireland Pitta,Pittidae,,,
Erythropitta splendida,Tabar Pitta,Pittidae,,,
Erythropitta gazellae,New Britain Pitta,Pittidae,,,
Serilophus lunatus,Silver-breasted Broadbill,Eurylaimidae,,,
,,,Serilophus lunatus,Silver-breasted Broadbill,Eurylaimidae
,,,Serilophus rubropygius,Gray-lored Broadbill,Eurylaimidae
,,,Phyllomyias zeledoni,White-fronted Tyrannulet,Tyrannidae
Phyllomyias burmeisteri,Rough-legged Tyrannulet,Tyrannidae,,,
,,,Phyllomyias burmeisteri,Rough-legged Tyrannulet,Tyrannidae
Phaeomyias murina,Mouse-colored Tyrannulet,Tyrannidae,,,
,,,Nesotriccus murinus,Southern Mouse-colored Tyrannulet,Tyrannidae
,,,Nesotriccus incomtus,Northern Mouse-colored Tyrannulet,Tyrannidae
,,,Nesotriccus maranonicus,Marañon Tyrannulet,Tyrannidae
,,,Nesotriccus tumbezanus,Tumbes Tyrannulet,Tyrannidae
Nesotriccus ridgwayi,Cocos Flycatcher,Tyrannidae,Nesotriccus ridgwayi,Cocos Tyrannulet,Tyrannidae
Myiopagis caniceps,Gray Elaenia,Tyrannidae,,,
,,,Myiopagis caniceps,Gray-headed Elaenia,Tyrannidae
,,,Myiopagis cinerea,Amazonian Elaenia,Tyrannidae
,,,Myiopagis parambae,Choco Elaenia,Tyrannidae
,,,Serpophaga subcristata,White-crested Tyrannulet,Tyrannidae
Serpophaga subcristata,White-crested Tyrannulet,Tyrannidae,,,
Serpophaga munda,White-bellied Tyrannulet,Tyrannidae,,,
Stigmatura napensis,Lesser Wagtail-Tyrant,Tyrannidae,,,
,,,Stigmatura napensis,Lesser Wagtail-Tyrant,Tyrannidae
,,,Stigmatura bahiae,Bahia Wagtail-Tyrant,Tyrannidae
Tachuris rubrigastra,Many-colored Rush Tyrant,Tyrannidae,Tachuris rubrigastra,Many-colored Rush Tyrant,Tyrannidae
Euscarthmus meloryphus,Rufous-crowned Pygmy-Tyrant,Tyrannidae,Euscarthmus meloryphus,Fulvous-crowned Scrub-Tyrant,Tyrannidae
Euscarthmus fulviceps,Fulvous-headed Pygmy-Tyrant,Tyrannidae,Euscarthmus fulviceps,Fulvous-faced Scrub-Tyrant,Tyrannidae
Euscarthmus rufomarginatus,Rufous-sided Pygmy-Tyrant,Tyrannidae,Euscarthmus rufomarginatus,Rufous-sided Scrub-Tyrant,Tyrannidae
Mionectes olivaceus,Olive-striped Flycatcher,Tyrannidae,,,
,,,Mionectes olivaceus,Olive-streaked Flycatcher,Tyrannidae
,,,Mionectes galbinus,Olive-striped Flycatcher,Tyrannidae
Phylloscartes ophthalmicus,Marble-faced Bristle-Tyrant,Tyrannidae,Pogonotriccus ophthalmicus,Marble-faced Bristle-Tyrant,Tyrannidae
Phylloscartes venezuelanus,Venezuelan Bristle-Tyrant,Tyrannidae,Pogonotriccus venezuelanus,Venezuelan Bristle-Tyrant,Tyrannidae
Phylloscartes lanyoni,Antioquia Bristle-Tyrant,Tyrannidae,Pogonotriccus lanyoni,Antioquia Bristle-Tyrant,Tyrannidae
Phylloscartes orbitalis,Spectacled Bristle-Tyrant,Tyrannidae,Pogonotriccus orbitalis,Spectacled Bristle-Tyrant,Tyrannidae
Phylloscartes poecilotis,Variegated Bristle-Tyrant,Tyrannidae,Pogonotriccus poecilotis,Variegated Bristle-Tyrant,Tyrannidae
Phylloscartes eximius,Southern Bristle-Tyrant,Tyrannidae,Pogonotriccus eximius,Southern Bristle-Tyrant,Tyrannidae
Phylloscartes chapmani,Chapman's Bristle-Tyrant,Tyrannidae,Pogonotriccus chapmani,Chapman's Bristle-Tyrant,Tyrannidae
Phylloscartes paulista,Sao Paulo Tyrannulet,Tyrannidae,Pogonotriccus paulista,Sao Paulo Bristle-Tyrant,Tyrannidae
Phylloscartes difficilis,Serra do Mar Tyrannulet,Tyrannidae,Pogonotriccus difficilis,Serra do Mar Bristle-Tyrant,Tyrannidae
Rhynchocyclus olivaceus,Olivaceous Flatbill,Tyrannidae,,,
,,,Rhynchocyclus olivaceus,Eastern Olivaceous Flatbill,Tyrannidae
,,,Rhynchocyclus aequinoctialis,Western Olivaceous Flatbill,Tyrannidae
Tolmomyias sulphurescens,Yellow-olive Flycatcher,Tyrannidae,Tolmomyias sulphurescens,Yellow-olive Flatbill,Tyrannidae
Tolmomyias traylori,Orange-eyed Flycatcher,Tyrannidae,Tolmomyias traylori,Orange-eyed Flatbill,Tyrannidae
Tolmomyias assimilis,Yellow-margined Flycatcher,Tyrannidae,,,
,,,Tolmomyias assimilis,Yellow-margined Flatbill,Tyrannidae
,,,Tolmomyias flavotectus,Yellow-winged Flatbill,Tyrannidae
Tolmomyias poliocephalus,Gray-crowned Flycatcher,Tyrannidae,Tolmomyias poliocephalus,Gray-crowned Flatbill,Tyrannidae
Tolmomyias flaviventris,Yellow-breasted Flycatcher,Tyrannidae,,,
,,,Tolmomyias flaviventris,Ochre-lored Flatbill,Tyrannidae
,,,Tolmomyias viridiceps,Olive-faced Flatbill,Tyrannidae
Onychorhynchus coronatus,Royal Flycatcher,Oxyruncidae,,,
,,,Onychorhynchus coronatus,Tropical Royal Flycatcher,Oxyruncidae
,,,Onychorhynchus swainsoni,Atlantic Royal Flycatcher,Oxyruncidae
Myiophobus fasciatus,Bran-colored Flycatcher,Tyrannidae,,,
,,,Myiophobus fasciatus,Bran-colored Flycatcher,Tyrannidae
,,,Myiophobus crypterythrus,Mouse-gray Flycatcher,Tyrannidae
,,,Myiophobus rufescens,Rufescent Flycatcher,Tyrannidae
Contopus cinereus,Tropical Pewee,Tyrannidae,,,
,,,Contopus cinereus,Southern Tropical Pewee,Tyrannidae
,,,Contopus bogotensis,Northern Tropical Pewee,Tyrannidae
,,,Contopus punensis,Tumbes Pewee,Tyrannidae
,,,Empidonax difficilis,Western Flycatcher,Tyrannidae
Empidonax difficilis,Pacific-slope Flycatcher,Tyrannidae,,,
Empidonax occidentalis,Cordilleran Flycatcher,Tyrannidae,,,
Ochthoeca frontalis,Crowned Chat-Tyrant,Tyrannidae,Silvicultrix frontalis,Crowned Chat-Tyrant,Tyrannidae
Ochthoeca jelskii,Jelski's Chat-Tyrant,Tyrannidae,Silvicultrix jelskii,Jelski's Chat-Tyrant,Tyrannidae
Ochthoeca diadema,Yellow-bellied Chat-Tyrant,Tyrannidae,Silvicultrix diadema,Yellow-bellied Chat-Tyrant,Tyrannidae
Ochthoeca pulchella,Golden-browed Chat-Tyrant,Tyrannidae,Silvicultrix pulchella,Golden-browed Chat-Tyrant,Tyrannidae
Ochthoeca cinnamomeiventris,Slaty-backed Chat-Tyrant,Tyrannidae,,,
