ScientificName1974,CommonName1974,Alternate name,Family1974,ScientificName2023,CommonName2023,Alternate name,Family2023
,,,,Diomedea sanfordi,Northern Royal Albatross,Albatros de Sanford,Diomedeidae
Diomedea irrorata,Waved Albatross,,Diomedeidae,Phoebastria irrorata,Waved Albatross,Albatros des Galapagos,Diomedeidae
Diomedea albatrus,Short-tailed Albatross,,Diomedeidae,Phoebastria albatrus,Short-tailed Albatross,Albatros à queue courte,Diomedeidae
Diomedea nigripes,Black-footed Albatross,,Diomedeidae,Phoebastria nigripes,Black-footed Albatross,Albatros à pieds noirs,Diomedeidae
Diomedea immutabilis,Laysan Albatross,,Diomedeidae,Phoebastria immutabilis,Laysan Albatross,Albatros de Laysan,Diomedeidae
Diomedea melanophrys,Black-browed Albatross,,Diomedeidae,Thalassarche melanophris,Black-browed Albatross,Albatros à sourcils noirs,Diomedeidae
Diomedea cauta,Shy Albatross,,Diomedeidae,,,,
,,,,Thalassarche cauta,White-capped Albatross,Albatros à cape blanche,Diomedeidae
,,,,Thalassarche salvini,Salvin's Albatross,Albatros de Salvin,Diomedeidae
,,,,Thalassarche eremita,Chatham Albatross,Albatros des Chatham,Diomedeidae
Diomedea chrysostoma,Gray-headed Albatross,,Diomedeidae,Thalassarche chrysostoma,Gray-headed Albatross,Albatros à tête grise,Diomedeidae
Diomedea chlororhynchos,Yellow-nosed Albatross,,Diomedeidae,,,,
,,,,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,Albatros à nez jaune,Diomedeidae
,,,,Thalassarche carteri,Indian Yellow-nosed Albatross,Albatros de Carter,Diomedeidae
Diomedea bulleri,Buller's Albatross,,Diomedeidae,Thalassarche bulleri,Buller's Albatross,Albatros de Buller,Diomedeidae
Macronectes giganteus,Giant Fulmar,,Procellariidae,Macronectes giganteus,Southern Giant-Petrel,Pétrel géant,Procellariidae
Macronectes halli,Hall's Giant Petrel,,Procellariidae,Macronectes halli,Northern Giant-Petrel,Pétrel de Hall,Procellariidae
Pterodroma brevirostris,Kerguelen Petrel,,Procellariidae,Aphrodroma brevirostris,Kerguelen Petrel,Pétrel des Kerguelen,Procellariidae
Pterodroma aterrima,Mascarene Black Petrel,,Procellariidae,Pseudobulweria aterrima,Mascarene Petrel,Pétrel de Bourbon,Procellariidae
Pterodroma becki,Beck's Petrel,,Procellariidae,Pseudobulweria becki,Beck's Petrel,Pétrel de Beck,Procellariidae
Pterodroma rostrata,Tahiti Petrel,,Procellariidae,Pseudobulweria rostrata,Tahiti Petrel,Pétrel de Tahiti,Procellariidae
Bulweria macgillivrayi,Macgillivray's Petrel,,Procellariidae,Pseudobulweria macgillivrayi,Fiji Petrel,Pétrel des Fidji,Procellariidae
Pterodroma axillaris,Chatham Island Petrel,,Procellariidae,Pterodroma axillaris,Chatham Petrel,Pétrel des Chatham,Procellariidae
Pterodroma cervicalis,Sunday Island Petrel,,Procellariidae,,,,
,,,,Pterodroma cervicalis,White-necked Petrel,Pétrel à col blanc,Procellariidae
,,,,Pterodroma occulta,Vanuatu Petrel,Pétrel de Vanuatu,Procellariidae
Pterodroma inexpectata,Scaled Petrel,,Procellariidae,Pterodroma inexpectata,Mottled Petrel,Pétrel maculé,Procellariidae
Pterodroma leucoptera,White-winged Petrel,,Procellariidae,Pterodroma leucoptera,Gould's Petrel,Pétrel de Gould,Procellariidae
Pterodroma cooki,Cook's Petrel,,Procellariidae,,,,
,,,,Pterodroma cookii,Cook's Petrel,Pétrel de Cook,Procellariidae
,,,,Pterodroma defilippiana,Masatierra Petrel,Pétrel de Filippi,Procellariidae
Pterodroma longirostris,Japanese Petrel,,Procellariidae,Pterodroma longirostris,Stejneger's Petrel,Pétrel de Stejneger,Procellariidae
Pterodroma heraldica,Herald Petrel,,Procellariidae,,,,
,,,,Pterodroma heraldica,Herald Petrel,Pétrel du Herald,Procellariidae
,,,,Pterodroma atrata,Henderson Petrel,Pétrel de Henderson,Procellariidae
Pterodroma arminjoniana,Trinidad Petrel,,Procellariidae,Pterodroma arminjoniana,Trindade Petrel,Pétrel de Trindade,Procellariidae
Pterodroma phaeopygia,Hawaiian Petrel,,Procellariidae,,,,
,,,,Pterodroma phaeopygia,Galapagos Petrel,Pétrel des Galapagos,Procellariidae
,,,,Pterodroma sandwichensis,Hawaiian Petrel,Pétrel des Hawaï,Procellariidae
Pterodroma oliveri,Oliver's Petrel,,Procellariidae,,,,
Pterodroma wortheni,Worthen's Petrel,,Procellariidae,,,,
Pterodroma externa,White-necked Petrel,,Procellariidae,Pterodroma externa,Juan Fernandez Petrel,Pétrel de Juan Fernandez,Procellariidae
Pterodroma solandri,Solander's Petrel,,Procellariidae,Pterodroma solandri,Providence Petrel,Pétrel de Solander,Procellariidae
Pterodroma macroptera,Great-winged Petrel,,Procellariidae,,,,
,,,,Pterodroma macroptera,Great-winged Petrel,Pétrel noir,Procellariidae
,,,,Pterodroma gouldi,Gray-faced Petrel,Pétrel à face grise,Procellariidae
,,,,Pterodroma magentae,Magenta Petrel,Pétrel du Magenta,Procellariidae
,,,,Pterodroma madeira,Zino's Petrel,Pétrel de Madère,Procellariidae
,,,,Pterodroma feae,Fea's Petrel,Pétrel gongon,Procellariidae
Pterodroma mollis,Soft-plumaged Petrel,,Procellariidae,,,,
,,,,Pterodroma mollis,Soft-plumaged Petrel,Pétrel soyeux,Procellariidae
Pterodroma incerta,Hooded Petrel,,Procellariidae,Pterodroma incerta,Atlantic Petrel,Pétrel de Schlegel,Procellariidae
Pterodroma hasitata,Black-capped Petrel,,Procellariidae,,,,
,,,,Pterodroma hasitata,Black-capped Petrel,Pétrel diablotin,Procellariidae
,,,,Pterodroma caribbaea,Jamaican Petrel,Pétrel de Jamaïque,Procellariidae
Pachyptila salvini,Medium-billed Prion,,Procellariidae,,,,
,,,,Pachyptila salvini,Salvin's Prion,Prion de Salvin,Procellariidae
,,,,Pachyptila macgillivrayi,MacGillivray's Prion,Prion de MacGillivray,Procellariidae
Pachyptila desolata,Dove Prion,,Procellariidae,Pachyptila desolata,Antarctic Prion,Prion de la Désolation,Procellariidae
Bulweria bulweri,Bulwer's Petrel,,Procellariidae,Bulweria bulwerii,Bulwer's Petrel,Pétrel de Bulwer,Procellariidae
Procellaria aequinoctialis,White-chinned Petrel,,Procellariidae,,,,
,,,,Procellaria aequinoctialis,White-chinned Petrel,Puffin à menton blanc,Procellariidae
,,,,Procellaria conspicillata,Spectacled Petrel,Puffin à lunettes,Procellariidae
Procellaria parkinsoni,Black Petrel,,Procellariidae,Procellaria parkinsoni,Parkinson's Petrel,Puffin de Parkinson,Procellariidae
Adamaster cinerea,Black-tailed Shearwater,,Procellariidae,Procellaria cinerea,Gray Petrel,Puffin gris,Procellariidae
,,,,Calonectris diomedea,Cory's Shearwater,Puffin cendré,Procellariidae
Puffinus diomedea,Cory's Shearwater,,Procellariidae,,,,
Puffinus kuhli,Mediterranean Shearwater,,Procellariidae,,,,
,,,,Calonectris edwardsii,Cape Verde Shearwater,Puffin du Cap-Vert,Procellariidae
Puffinus leucomelas,Streaked Shearwater,,Procellariidae,Calonectris leucomelas,Streaked Shearwater,Puffin leucomèle,Procellariidae
Puffinus pacificus,Wedge-tailed Shearwater,,Procellariidae,Ardenna pacifica,Wedge-tailed Shearwater,Puffin fouquet,Procellariidae
Puffinus bulleri,New Zealand Shearwater,,Procellariidae,Ardenna bulleri,Buller's Shearwater,Puffin de Buller,Procellariidae
Puffinus carneipes,Flesh-footed Shearwater,,Procellariidae,Ardenna carneipes,Flesh-footed Shearwater,Puffin à pieds pâles,Procellariidae
Puffinus creatopus,Pink-footed Shearwater,,Procellariidae,Ardenna creatopus,Pink-footed Shearwater,Puffin à pieds roses,Procellariidae
Puffinus gravis,Greater Shearwater,,Procellariidae,Ardenna gravis,Great Shearwater,Puffin majeur,Procellariidae
Puffinus griseus,Sooty Shearwater,,Procellariidae,Ardenna grisea,Sooty Shearwater,Puffin fuligineux,Procellariidae
Puffinus tenuirostris,Short-tailed Shearwater,,Procellariidae,Ardenna tenuirostris,Short-tailed Shearwater,Puffin à bec grêle,Procellariidae
Puffinus nativitatus,Christmas Island Shearwater,,Procellariidae,Puffinus nativitatis,Christmas Shearwater,Puffin de la Nativité,Procellariidae
Puffinus puffinus,Manx Shearwater,,Procellariidae,,,,
,,,,Puffinus puffinus,Manx Shearwater,Puffin des Anglais,Procellariidae
,,,,Puffinus yelkouan,Yelkouan Shearwater,Puffin yelkouan,Procellariidae
,,,,Puffinus mauretanicus,Balearic Shearwater,Puffin des Baléares,Procellariidae
Puffinus auricularis,Townsend's Shearwater,,Procellariidae,,,,
,,,,Puffinus auricularis,Townsend's Shearwater,Puffin de Townsend,Procellariidae
,,,,Puffinus newelli,Newell's Shearwater,Puffin de Newell,Procellariidae
,,,,Puffinus myrtae,Rapa Shearwater,Puffin de Rapa,Procellariidae
Puffinus lherminieri,Audubon's Shearwater,,Procellariidae,,,,
,,,,Puffinus lherminieri,Audubon's Shearwater,Puffin d'Audubon,Procellariidae
,,,,Puffinus bailloni,Tropical Shearwater,Puffin de Baillon,Procellariidae
,,,,Puffinus subalaris,Galapagos Shearwater,Puffin des Galapagos,Procellariidae
,,,,Puffinus assimilis,Little Shearwater,Petit Puffin,Procellariidae
,,,,Puffinus elegans,Subantarctic Shearwater,Puffin élégant,Procellariidae
,,,,Puffinus baroli,Barolo Shearwater,Puffin de Macaronésie,Procellariidae
,,,,Puffinus boydi,Boyd's Shearwater,Puffin de Boyd,Procellariidae
Puffinus assimilis,Little Shearwater,,Procellariidae,,,,
,,,,Puffinus bannermani,Bannerman's Shearwater,Puffin de Bannerman,Procellariidae
,,,,Puffinus bryani,Bryan's Shearwater,Puffin de Bryan,Procellariidae
Oceanites oceanicus,Wilson's Storm Petrel,,Hydrobatidae,Oceanites oceanicus,Wilson's Storm-Petrel,Océanite de Wilson,Oceanitidae
,,,,Fregetta maoriana,New Zealand Storm-Petrel,Océanite maori,Oceanitidae
,,,,Fregetta lineata,New Caledonian Storm-Petrel,Océanite de Nouvelle-Calédonie,Oceanitidae
Oceanites gracilis,White-vented Storm Petrel,,Hydrobatidae,Oceanites gracilis,Elliot's Storm-Petrel,Océanite d'Elliot,Oceanitidae
,,,,Oceanites pincoyae,Pincoya Storm-Petrel,Océanite pincoya,Oceanitidae
Garrodia nereis,Grey-backed Storm Petrel,,Hydrobatidae,Garrodia nereis,Gray-backed Storm-Petrel,Océanite néréide,Oceanitidae
Pelagodroma marina,White-faced Storm Petrel,,Hydrobatidae,Pelagodroma marina,White-faced Storm-Petrel,Océanite frégate,Oceanitidae
Fregetta tropica,Black-bellied Storm Petrel,,Hydrobatidae,Fregetta tropica,Black-bellied Storm-Petrel,Océanite à ventre noir,Oceanitidae
Fregetta lineata,Striped Storm Petrel,,Hydrobatidae,,,,
Fregetta grallaria,White-bellied Storm Petrel,,Hydrobatidae,Fregetta grallaria,White-bellied Storm-Petrel,Océanite à ventre blanc,Oceanitidae
,,,,Nesofregetta fuliginosa,Polynesian Storm-Petrel,Océanite à gorge blanche,Oceanitidae
Nesofregetta albigularis,White-throated Storm Petrel,,Hydrobatidae,,,,
Nesofregetta moestissima,Samoan Storm Petrel,,Hydrobatidae,,,,
Hydrobates pelagicus,British Storm Petrel,,Hydrobatidae,Hydrobates pelagicus,European Storm-Petrel,Océanite tempête,Hydrobatidae
Halocyptena microsoma,Least Storm Petrel,,Hydrobatidae,Hydrobates microsoma,Least Storm-Petrel,Océanite minute,Hydrobatidae
Oceanodroma tethys,Galapagos Storm Petrel,,Hydrobatidae,Hydrobates tethys,Wedge-rumped Storm-Petrel,Océanite téthys,Hydrobatidae
Oceanodroma castro,Hartcourt's Storm Petrel,,Hydrobatidae,,,,
,,,,Hydrobates castro,Band-rumped Storm-Petrel,Océanite de Castro,Hydrobatidae
,,,,Hydrobates jabejabe,Cape Verde Storm-Petrel,Océanite du Cap-Vert,Hydrobatidae
,,,,Hydrobates monteiroi,Monteiro's Storm-Petrel,Océanite de Monteiro,Hydrobatidae
Oceanodroma leucorhoa,Leach's Storm Petrel,,Hydrobatidae,,,,
,,,,Hydrobates leucorhous,Leach's Storm-Petrel,Océanite cul-blanc,Hydrobatidae
,,,,Hydrobates socorroensis,Townsend's Storm-Petrel,Océanite de Townsend,Hydrobatidae
,,,,Hydrobates cheimomnestes,Ainley's Storm-Petrel,Océanite d'Ainley,Hydrobatidae
Oceanodroma monorhis,Swinhoe's Storm Petrel,,Hydrobatidae,Hydrobates monorhis,Swinhoe's Storm-Petrel,Océanite de Swinhoe,Hydrobatidae
Oceanodroma macrodactyla,Guadalupe Storm Petrel,,Hydrobatidae,Hydrobates macrodactylus,Guadalupe Storm-Petrel,Océanite de Guadalupe,Hydrobatidae
Oceanodroma tristrami,Steineger's Storm Petrel,,Hydrobatidae,Hydrobates tristrami,Tristram's Storm-Petrel,Océanite de Tristram,Hydrobatidae
Oceanodroma markhami,Sooty Storm Petrel,,Hydrobatidae,Hydrobates markhami,Markham's Storm-Petrel,Océanite de Markham,Hydrobatidae
Oceanodroma matsudairae,Matsudaira's Storm Petrel,,Hydrobatidae,Hydrobates matsudairae,Matsudaira's Storm-Petrel,Océanite de Matsudaira,Hydrobatidae
Oceanodroma melania,Black Storm Petrel,,Hydrobatidae,Hydrobates melania,Black Storm-Petrel,Océanite noir,Hydrobatidae
Oceanodroma homochroa,Ashy Storm Petrel,,Hydrobatidae,Hydrobates homochroa,Ashy Storm-Petrel,Océanite cendré,Hydrobatidae
Oceanodroma hornbyi,Ringed Storm Petrel,,Hydrobatidae,Hydrobates hornbyi,Ringed Storm-Petrel,Océanite de Hornby,Hydrobatidae
Oceanodroma furcata,Fork-tailed Storm Petrel,,Hydrobatidae,Hydrobates furcatus,Fork-tailed Storm-Petrel,Océanite à queue fourchue,Hydrobatidae
Pelecanoides garnotii,Peruvian Diving Petrel,,Pelecanoididae,Pelecanoides garnotii,Peruvian Diving-Petrel,Puffinure de Garnot,Procellariidae
Pelecanoides magellani,Magellanic Diving Petrel,,Pelecanoididae,Pelecanoides magellani,Magellanic Diving-Petrel,Puffinure de Magellan,Procellariidae
Pelecanoides georgicus,Georgian Diving Petrel,,Pelecanoididae,Pelecanoides georgicus,South Georgia Diving-Petrel,Puffinure de Géorgie du Sud,Procellariidae
,,,,Pelecanoides urinatrix,Common Diving-Petrel,Puffinure plongeur,Procellariidae
Pelecanoides urinatrix,Tristan Diving Petrel,,Pelecanoididae,,,,
Pelecanoides exsul,Sub-antarctic Diving Petrel,,Pelecanoididae,,,,
Sula abbotti,Abbot's Booby,,Sulidae,Papasula abbotti,Abbott's Booby,Fou d'Abbott,Sulidae
Morus bassanus,Gannet,,Sulidae,Morus bassanus,Northern Gannet,Fou de Bassan,Sulidae
Morus serrator,Australian Gannet,,Sulidae,Morus serrator,Australasian Gannet,Fou austral,Sulidae
Sula dactylatra,Masked Booby,,Sulidae,,,,
,,,,Sula dactylatra,Masked Booby,Fou masqué,Sulidae
,,,,Sula granti,Nazca Booby,Fou de Grant,Sulidae
Phalacrocorax africanus,Long-tailed Cormorant,,Phalacrocoracidae,,,,
,,,,Microcarbo africanus,Long-tailed Cormorant,Cormoran africain,Phalacrocoracidae
,,,,Microcarbo coronatus,Crowned Cormorant,Cormoran couronné,Phalacrocoracidae
,,,,Microcarbo pygmaeus,Pygmy Cormorant,Cormoran pygmée,Phalacrocoracidae
Phalacrocorax niger,Little Cormorant,,Phalacrocoracidae,Microcarbo niger,Little Cormorant,Cormoran de Vieillot,Phalacrocoracidae
Phalacrocorax melanoleucos,Little Pied Cormorant,,Phalacrocoracidae,Microcarbo melanoleucos,Little Pied Cormorant,Cormoran pie,Phalacrocoracidae
,,,,Urile perspicillatus,Pallas's Cormorant,Cormoran de Pallas,Phalacrocoracidae
Phalacrocorax penicillatus,Brandt's Cormorant,,Phalacrocoracidae,Urile penicillatus,Brandt's Cormorant,Cormoran de Brandt,Phalacrocoracidae
Phalacrocorax olivaceus,Olivaceous Cormorant,,Phalacrocoracidae,Nannopterum brasilianum,Neotropic Cormorant,Cormoran vigua,Phalacrocoracidae
Phalacrocorax auritus,Double-crested Cormorant,,Phalacrocoracidae,Nannopterum auritum,Double-crested Cormorant,Cormoran à aigrettes,Phalacrocoracidae
Phalacrocorax fuscicollis,Indian Shag,,Phalacrocoracidae,Phalacrocorax fuscicollis,Indian Cormorant,Cormoran à cou brun,Phalacrocoracidae
,,,,Phalacrocorax carbo,Great Cormorant,Grand Cormoran,Phalacrocoracidae
Phalacrocorax carbo,Common Cormorant,,Phalacrocoracidae,,,,
Phalacrocorax lucidus,White-breasted Cormorant,,Phalacrocoracidae,,,,
Phalacrocorax bougainvillii,Guanay Cormorant,,Phalacrocoracidae,Leucocarbo bougainvillii,Guanay Cormorant,Cormoran de Bougainville,Phalacrocoracidae
,,,,Leucocarbo nivalis,Heard Island Shag,Cormoran de Heard,Phalacrocoracidae
,,,,Leucocarbo melanogenis,Crozet Shag,Cormoran de Crozet,Phalacrocoracidae
,,,,Leucocarbo purpurascens,Macquarie Shag,Cormoran de Macquarie,Phalacrocoracidae
,,,,Leucocarbo bransfieldensis,Antarctic Shag,Cormoran antarctique,Phalacrocoracidae
,,,,Leucocarbo georgianus,South Georgia Shag,Cormoran géorgien,Phalacrocoracidae
Phalacrocorax albiventer,King Cormorant,,Phalacrocoracidae,,,,
,,,,Leucocarbo atriceps,Imperial Cormorant,Cormoran impérial,Phalacrocoracidae
Phalacrocorax atriceps,Blue-eyed Cormorant,,Phalacrocoracidae,,,,
Phalacrocorax verrucosus,Kerguelen Cormorant,,Phalacrocoracidae,Leucocarbo verrucosus,Kerguelen Shag,Cormoran des Kerguelen,Phalacrocoracidae
,,,,Leucocarbo campbelli,Campbell Islands Shag,Cormoran de Campbell,Phalacrocoracidae
Phalacrocorax carunculatus,Rough-faced Cormorant,,Phalacrocoracidae,,,,
,,,,Leucocarbo carunculatus,New Zealand King Shag,Cormoran caronculé,Phalacrocoracidae
,,,,Leucocarbo chalconotus,Stewart Island Shag,Cormoran bronzé,Phalacrocoracidae
,,,,Leucocarbo onslowi,Chatham Islands Shag,Cormoran des Chatham,Phalacrocoracidae
,,,,Leucocarbo colensoi,Auckland Islands Shag,Cormoran des Auckland,Phalacrocoracidae
,,,,Leucocarbo ranfurlyi,Bounty Islands Shag,Cormoran de Bounty,Phalacrocoracidae
Phalacrocorax magellanicus,Rock Cormorant,,Phalacrocoracidae,Leucocarbo magellanicus,Magellanic Cormorant,Cormoran de Magellan,Phalacrocoracidae
Phalacrocorax urile,Red-faced Cormorant,,Phalacrocoracidae,Urile urile,Red-faced Cormorant,Cormoran à face rouge,Phalacrocoracidae
Phalacrocorax pelagicus,Pelagic Cormorant,,Phalacrocoracidae,Urile pelagicus,Pelagic Cormorant,Cormoran pélagique,Phalacrocoracidae
Phalacrocorax aristotelis,Common Shag,,Phalacrocoracidae,Gulosus aristotelis,European Shag,Cormoran huppé,Phalacrocoracidae
Phalacrocorax gaimardi,Red-legged Cormorant,,Phalacrocoracidae,Poikilocarbo gaimardi,Red-legged Cormorant,Cormoran de Gaimard,Phalacrocoracidae
Phalacrocorax featherstoni,Chatham Cormorant,,Phalacrocoracidae,Phalacrocorax featherstoni,Pitt Island Shag,Cormoran de Featherston,Phalacrocoracidae
Anhinga novaehollandiae,Australian Darter,,Anhingidae,Anhinga novaehollandiae,Australasian Darter,Anhinga d'Australie,Anhingidae
Pelecanus onocrotalus,Eastern White Pelican,,Pelecanidae,Pelecanus onocrotalus,Great White Pelican,Pélican blanc,Pelecanidae
Pelecanus roseus,White Pelican,,Pelecanidae,,,,
Balaeniceps rex,Whale-headed Stork,,Balaenicipididae,Balaeniceps rex,Shoebill,Bec-en-sabot du Nil,Balaenicipitidae
Dichromanassa rufescens,Reddish Egret,,Ardeidae,Egretta rufescens,Reddish Egret,Aigrette roussâtre,Ardeidae
Melanophoyx vinaceigula,Brown-throaded Heron,,Ardeidae,Egretta vinaceigula,Slaty Egret,Aigrette vineuse,Ardeidae
Melanophoyx ardesiaca,Black Heron,,Ardeidae,Egretta ardesiaca,Black Heron,Aigrette ardoisée,Ardeidae
Hydranassa tricolor,Louisiana Heron,,Ardeidae,Egretta tricolor,Tricolored Heron,Aigrette tricolore,Ardeidae
Ardea novaehollandiae,White-faced Heron,,Ardeidae,Egretta novaehollandiae,White-faced Heron,Aigrette à face blanche,Ardeidae
Florida caerulea,Little Blue Heron,,Ardeidae,Egretta caerulea,Little Blue Heron,Aigrette bleue,Ardeidae
,,,,Egretta garzetta,Little Egret,Aigrette garzette,Ardeidae
Egretta garzetta,Little Egret,,Ardeidae,,,,
Egretta dimorpha,Mascarene Egret,,Ardeidae,,,,
,,,,Egretta gularis,Western Reef-Heron,Aigrette à gorge blanche,Ardeidae
Egretta gularis,West African Reef Heron,,Ardeidae,,,,
Egretta schistacea,Reef Heron,,Ardeidae,,,,
Demigretta asha,Indian Reef Heron,,Ardeidae,,,,
Egretta sacra,Eastern Reef Heron,,Ardeidae,Egretta sacra,Pacific Reef-Heron,Aigrette sacrée,Ardeidae
Ardea cocoi,White-necked Heron,,Ardeidae,Ardea cocoi,Cocoi Heron,Héron cocoi,Ardeidae
Ardea pacifica,Pacific White-necked Heron,,Ardeidae,Ardea pacifica,Pacific Heron,Héron à tête blanche,Ardeidae
Ardea humbloti,Madagascar Heron,,Ardeidae,Ardea humbloti,Humblot's Heron,Héron de Humblot,Ardeidae
